Campaign Name,Objective,Day,Age,Gender,Delivery Level,Reach,Impressions,Frequency,Result Type,Results,Results [On Ad],Results [28 Days After Clicking],Cost per Result,Cost per Result [On Ad],Cost per Result [28 Days After Clicking],Amount Spent (USD),"CPM (Cost per 1,000 Impressions)",Link Clicks,Link Clicks [On Ad],CPC (Cost per Link Click),CPC (Cost per Link Click) [On Ad],CTR (Link Click-Through Rate),Clicks (All),CPC (All),CTR (All),Purchases Conversion Value,Purchases Conversion Value [28 Days After Clicking],Cost per Purchase,Cost per Purchase [28 Days After Clicking],Purchases,Purchases [28 Days After Clicking],Purchase ROAS (Return on Ad Spend),Purchase ROAS (Return on Ad Spend) [28 Days After Clicking]
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,25-34,male,campaign,1568,1961,1.25,Website Purchases,2,,1,8.06,,16.13,16.13,8.23,3,3,5.38,5.38,0.15,4,4.03,0.2,72.37,30.76,8.06,16.13,2,1,4.49,1.91
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,35-44,female,campaign,1152,1739,1.51,Website Purchases,10,,1,1.4,,14.03,14.03,8.07,2,2,7.01,7.01,0.12,6,2.34,0.35,521.29,83.54,1.40,14.03,10,1,37.16,5.95
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,45-54,female,campaign,640,894,1.4,Website Purchases,8,,2,1.31,,5.24,10.48,11.72,1,1,10.48,10.48,0.11,4,2.62,0.45,1034.13,220.78,1.31,5.24,8,2,98.68,21.07
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,55-64,female,campaign,384,526,1.37,,,,,,,,8.20,15.59,,,,,,1,8.2,0.19,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,35-44,male,campaign,448,461,1.03,Website Purchases,1,,1,4.15,,4.15,4.15,9,,,,,,1,4.15,0.22,139.96,139.96,4.15,4.15,1,1,33.73,33.73
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,65+,unknown,campaign,0,7,0,,,,,,,,0.07,10,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,13-17,unknown,campaign,0,8,0,,,,,,,,0.03,3.75,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,55-64,unknown,campaign,0,10,0,,,,,,,,0.15,15,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,45-54,unknown,campaign,0,19,0,,,,,,,,0.15,7.89,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,35-44,unknown,campaign,16,41,2.56,,,,,,,,0.34,8.29,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,13-17,male,campaign,80,89,1.11,,,,,,,,0.43,4.83,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,65+,male,campaign,48,132,2.75,,,,,,,,1.93,14.62,1,1,1.93,1.93,0.76,2,0.96,1.52,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,18-24,unknown,campaign,128,177,1.38,Website Purchases,1,,,1.2,,,1.20,6.78,2,2,0.6,0.6,1.13,2,0.6,1.13,27.9,0,1.20,0,1,0,23.25,0
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,55-64,male,campaign,191,191,1,,,,,,,,2.95,15.44,,,,,,1,2.95,0.52,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,45-54,male,campaign,112,224,2,,,,,,,,2.76,12.32,,,,,,1,2.76,0.45,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,65+,female,campaign,256,286,1.12,Website Purchases,3,,1,1.7,,5.09,5.09,17.8,1,1,5.09,5.09,0.35,5,1.02,1.75,210.68,93.62,1.70,5.09,3,1,41.39,18.39
EBD_2018_Evergreen,CONVERSIONS,2018-04-01,25-34,unknown,campaign,80,138,1.73,Website Purchases,1,,1,1.05,,1.05,1.05,7.61,1,1,1.05,1.05,0.72,1,1.05,0.72,166.95,166.95,1.05,1.05,1,1,159,159
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,13-17,female,campaign,128,254,1.98,,,,,,,,1.16,4.57,2,2,0.58,0.58,0.79,2,0.58,0.79,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,55-64,male,campaign,224,235,1.05,,,,,,,,3.56,15.15,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,25-34,unknown,campaign,96,124,1.29,Website Purchases,2,,2,0.5,,0.5,1.00,8.06,1,1,1,1,0.81,2,0.5,1.61,75.33,75.33,0.50,0.5,2,2,75.33,75.33
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,18-24,female,campaign,41982,48000,1.14,Website Purchases,41,,20,9.83,,20.16,403.13,8.4,324,324,1.24,1.24,0.68,536,0.75,1.12,1825.2,830.55,9.83,20.16,41,20,4.53,2.06
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,25-34,female,campaign,21439,25265,1.18,Website Purchases,25,,12,10.37,,21.61,259.27,10.26,146,146,1.78,1.78,0.58,281,0.92,1.11,1627.84,466.73,10.37,21.61,25,12,6.28,1.8
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,18-24,male,campaign,1456,1934,1.33,Website Purchases,5,,1,3.09,,15.45,15.45,7.99,5,5,3.09,3.09,0.26,7,2.21,0.36,341.95,33.21,3.09,15.45,5,1,22.13,2.15
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,25-34,male,campaign,1456,1808,1.24,Website Purchases,4,,,4.26,,,17.04,9.42,4,4,4.26,4.26,0.22,8,2.13,0.44,254.53,0,4.26,0,4,0,14.94,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,35-44,female,campaign,1360,1795,1.32,Website Purchases,8,,5,2.35,,3.76,18.82,10.48,4,4,4.7,4.7,0.22,11,1.71,0.61,450.26,208.34,2.35,3.76,8,5,23.93,11.07
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,45-54,female,campaign,912,946,1.04,,,,,,,,13.91,14.7,1,1,13.91,13.91,0.11,8,1.74,0.85,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,55-64,female,campaign,480,658,1.37,Website Purchases,4,,,3.14,,,12.56,19.09,2,2,6.28,6.28,0.3,10,1.26,1.52,339.79,0,3.14,0,4,0,27.05,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,45-54,unknown,campaign,0,28,0,,,,,,,,0.34,12.14,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,35-44,unknown,campaign,16,46,2.88,,,,,,,,0.41,8.91,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,65+,male,campaign,128,171,1.34,,,,,,,,3.07,17.95,2,2,1.53,1.53,1.17,3,1.02,1.75,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,18-24,unknown,campaign,48,124,2.58,,,,,,,,0.99,7.98,,,,,,1,0.99,0.81,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,13-17,unknown,campaign,0,5,0,,,,,,,,0.07,14,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,65+,unknown,campaign,12,12,1,,,,,,,,0.09,7.5,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,55-64,unknown,campaign,0,19,0,,,,,,,,0.27,14.21,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,13-17,male,campaign,80,87,1.09,,,,,,,,0.43,4.94,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,65+,female,campaign,384,401,1.04,,,,,,,,7.88,19.65,,,,,,7,1.13,1.75,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,45-54,male,campaign,144,277,1.92,Website Purchases,1,,,3.36,,,3.36,12.13,1,1,3.36,3.36,0.36,1,3.36,0.36,133.56,0,3.36,0,1,0,39.75,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-31,35-44,male,campaign,352,507,1.44,,,,,,,,5.12,10.1,,,,,,3,1.71,0.59,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,55-64,unknown,campaign,0,4,0,,,,,,,,0.03,7.5,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,13-17,female,campaign,224,285,1.27,Website Purchases,2,,,0.73,,,1.45,5.09,,,,,,0,,0,129.66,0,0.73,0,2,0,89.42,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,65+,unknown,campaign,9,9,1,,,,,,,,0.04,4.44,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,18-24,female,campaign,45727,48343,1.06,Website Purchases,47,,20,8.81,,20.69,413.89,8.56,351,351,1.18,1.18,0.73,467,0.89,0.97,2117.28,783.34,8.81,20.69,47,20,5.12,1.89
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,25-34,female,campaign,21072,23817,1.13,Website Purchases,33,,10,8.36,,27.59,275.88,11.58,136,136,2.03,2.03,0.57,247,1.12,1.04,2470.63,1234.15,8.36,27.59,33,10,8.96,4.47
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,25-34,male,campaign,1488,1853,1.25,Website Purchases,3,,,6.24,,,18.72,10.1,,,,,,3,6.24,0.16,269.87,0,6.24,0,3,0,14.42,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,35-44,female,campaign,1248,1477,1.18,Website Purchases,4,,2,4.03,,8.06,16.12,10.91,3,3,5.37,5.37,0.2,8,2.02,0.54,191.73,92.53,4.03,8.06,4,2,11.89,5.74
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,45-54,female,campaign,544,713,1.31,Website Purchases,2,,1,4.6,,9.19,9.19,12.89,2,2,4.6,4.6,0.28,6,1.53,0.84,97.86,14.95,4.60,9.19,2,1,10.65,1.63
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,55-64,female,campaign,336,452,1.35,Website Purchases,5,,1,1.86,,9.3,9.30,20.58,1,1,9.3,9.3,0.22,3,3.1,0.66,293.6,118.46,1.86,9.3,5,1,31.57,12.74
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,35-44,male,campaign,336,426,1.27,Website Purchases,1,,,4.44,,,4.44,10.42,2,2,2.22,2.22,0.47,4,1.11,0.94,103.56,0,4.44,0,1,0,23.32,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,18-24,male,campaign,1456,1762,1.21,Website Purchases,4,,,3.79,,,15.14,8.59,4,4,3.79,3.79,0.23,12,1.26,0.68,188.55,0,3.79,0,4,0,12.45,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,65+,female,campaign,272,272,1,Website Purchases,1,,,4.05,,,4.05,14.89,,,,,,2,2.03,0.74,82.14,0,4.05,0,1,0,20.28,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,13-17,unknown,campaign,0,11,0,,,,,,,,0.09,8.18,,,,,,2,0.05,18.18,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,55-64,male,campaign,128,178,1.39,Website Purchases,1,,1,2.9,,2.9,2.90,16.29,3,3,0.97,0.97,1.69,5,0.58,2.81,106.39,106.39,2.90,2.9,1,1,36.69,36.69
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,18-24,unknown,campaign,80,126,1.58,,,,,,,,0.78,6.19,1,1,0.78,0.78,0.79,1,0.78,0.79,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,25-34,unknown,campaign,96,120,1.25,,,,,,,,0.98,8.17,,,,,,1,0.98,0.83,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,65+,male,campaign,80,110,1.38,,,,,,,,1.93,17.55,1,1,1.93,1.93,0.91,1,1.93,0.91,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,13-17,male,campaign,86,86,1,,,,,,,,0.57,6.63,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,35-44,unknown,campaign,16,30,1.88,,,,,,,,0.45,15,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,45-54,unknown,campaign,0,25,0,,,,,,,,0.31,12.4,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-30,45-54,male,campaign,176,227,1.29,,,,,,,,2.75,12.11,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,65+,female,campaign,208,208,1,Website Purchases,3,,,1.57,,,4.72,22.69,,,,,,2,2.36,0.96,309.3,0,1.57,0,3,0,65.53,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,45-54,male,campaign,96,149,1.55,Website Purchases,1,,,2.5,,,2.50,16.78,,,,,,0,,0,66.67,0,2.50,0,1,0,26.67,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,13-17,female,campaign,144,147,1.02,,,,,,,,0.93,6.33,1,1,0.93,0.93,0.68,1,0.93,0.68,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,55-64,male,campaign,48,122,2.54,,,,,,,,2.23,18.28,1,1,2.23,2.23,0.82,1,2.23,0.82,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,35-44,unknown,campaign,0,23,0,,,,,,,,0.40,17.39,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,18-24,unknown,campaign,80,101,1.26,,,,,,,,0.68,6.73,,,,,,1,0.68,0.99,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,65+,male,campaign,48,78,1.63,,,,,,,,1.59,20.38,1,1,1.59,1.59,1.28,1,1.59,1.28,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,25-34,unknown,campaign,48,70,1.46,,,,,,,,0.56,8,1,1,0.56,0.56,1.43,1,0.56,1.43,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,13-17,male,campaign,32,54,1.69,Website Purchases,1,,,0.26,,,0.26,4.81,,,,,,0,,0,40.35,0,0.26,0,1,0,155.2,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,65+,unknown,campaign,13,13,1,,,,,,,,0.10,7.69,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,45-54,unknown,campaign,13,13,1,Website Purchases,1,,,0.16,,,0.16,12.31,,,,,,0,,0,80.9,0,0.16,0,1,0,505.66,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,45-54,female,campaign,432,577,1.34,Website Purchases,4,,,2.22,,,8.88,15.39,1,1,8.88,8.88,0.17,1,8.88,0.17,275.21,0,2.22,0,4,0,30.99,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,35-44,male,campaign,320,377,1.18,,,,,,,,3.29,8.73,,,,,,2,1.64,0.53,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,35-44,female,campaign,1024,1310,1.28,Website Purchases,3,,2,5.47,,8.2,16.41,12.53,3,3,5.47,5.47,0.23,9,1.82,0.69,72.47,51.16,5.47,8.2,3,2,4.42,3.12
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,18-24,male,campaign,1488,1693,1.14,Website Purchases,4,,2,3.34,,6.68,13.36,7.89,4,4,3.34,3.34,0.24,8,1.67,0.47,156.68,88.82,3.34,6.68,4,2,11.73,6.65
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,25-34,male,campaign,1424,1745,1.23,Website Purchases,5,,2,3.32,,8.29,16.59,9.51,10,10,1.66,1.66,0.57,17,0.98,0.97,275.96,191.1,3.32,8.29,5,2,16.64,11.52
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,25-34,female,campaign,24350,28362,1.16,Website Purchases,32,,19,9.7,,16.34,310.40,10.94,185,185,1.68,1.68,0.65,339,0.92,1.2,1689.76,987.21,9.70,16.34,32,19,5.44,3.18
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,18-24,female,campaign,38893,43220,1.11,Website Purchases,37,,19,10.66,,20.77,394.54,9.13,279,279,1.41,1.41,0.65,449,0.88,1.04,1722.5,706.55,10.66,20.77,37,19,4.37,1.79
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,13-17,unknown,campaign,9,9,1,,,,,,,,0.07,7.78,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,55-64,unknown,campaign,0,7,0,,,,,,,,0.07,10,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-29,55-64,female,campaign,336,365,1.09,Website Purchases,3,,,2.62,,,7.87,21.56,4,4,1.97,1.97,1.1,6,1.31,1.64,228.17,0,2.62,0,3,0,28.99,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,45-54,male,campaign,112,157,1.4,,,,,,,,1.87,11.91,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,13-17,female,campaign,80,167,2.09,,,,,,,,0.84,5.03,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,65+,female,campaign,224,304,1.36,Website Purchases,2,,,2.67,,,5.33,17.53,1,1,5.33,5.33,0.33,3,1.78,0.99,35.82,0,2.67,0,2,0,6.72,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,35-44,male,campaign,400,406,1.02,Website Purchases,2,,,1.91,,,3.82,9.41,,,,,,2,1.91,0.49,61.49,0,1.91,0,2,0,16.1,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,55-64,female,campaign,304,428,1.41,Website Purchases,2,,,4.25,,,8.50,19.86,,,,,,1,8.5,0.23,165.82,0,4.25,0,2,0,19.51,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,45-54,female,campaign,528,708,1.34,Website Purchases,4,,3,2.59,,3.45,10.36,14.63,5,5,2.07,2.07,0.71,11,0.94,1.55,271.61,220.2,2.59,3.45,4,3,26.22,21.25
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,35-44,female,campaign,1168,1430,1.22,Website Purchases,4,,1,4.35,,17.4,17.40,12.17,3,3,5.8,5.8,0.21,10,1.74,0.7,243.26,20.31,4.35,17.4,4,1,13.98,1.17
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,55-64,male,campaign,127,127,1,,,,,,,,2.02,15.91,,,,,,1,2.02,0.79,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,25-34,male,campaign,1680,1804,1.07,Website Purchases,1,,,17.14,,,17.14,9.5,12,12,1.43,1.43,0.67,22,0.78,1.22,56.9,0,17.14,0,1,0,3.32,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,18-24,male,campaign,1664,2069,1.24,Website Purchases,2,,,8.84,,,17.67,8.54,6,6,2.95,2.95,0.29,12,1.47,0.58,75.86,0,8.84,0,2,0,4.29,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,25-34,female,campaign,23760,29617,1.25,Website Purchases,39,,19,9.13,,18.73,355.94,12.02,200,200,1.78,1.78,0.68,354,1.01,1.2,2905.94,1515.89,9.13,18.73,39,19,8.16,4.26
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,18-24,female,campaign,29056,35696,1.23,Website Purchases,32,,19,10.79,,18.18,345.33,9.67,238,238,1.45,1.45,0.67,385,0.9,1.08,1426.94,884.64,10.79,18.18,32,19,4.13,2.56
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,65+,unknown,campaign,0,4,0,,,,,,,,0.04,10,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,55-64,unknown,campaign,7,7,1,,,,,,,,0.09,12.86,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,45-54,unknown,campaign,0,17,0,Website Purchases,1,,,0.14,,,0.14,8.24,,,,,,0,,0,51.41,0,0.14,0,1,0,367.21,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,18-24,unknown,campaign,80,114,1.43,Website Purchases,1,,,0.74,,,0.74,6.49,,,,,,0,,0,25.51,0,0.74,0,1,0,34.47,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,65+,male,campaign,64,111,1.73,,,,,,,,1.63,14.68,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,25-34,unknown,campaign,77,77,1,,,,,,,,0.61,7.92,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,13-17,unknown,campaign,10,10,1,,,,,,,,0.06,6,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,35-44,unknown,campaign,16,26,1.63,,,,,,,,0.33,12.69,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-28,13-17,male,campaign,64,72,1.13,,,,,,,,0.50,6.94,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,18-24,female,campaign,10039,12308,1.23,Website Purchases,13,,9,8.43,,12.17,109.53,8.9,67,67,1.63,1.63,0.54,119,0.92,0.97,1035.52,789.3,8.43,12.17,13,9,9.45,7.21
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,18-24,male,campaign,1264,1578,1.25,Website Purchases,3,,,3.62,,,10.85,6.88,6,6,1.81,1.81,0.38,7,1.55,0.44,134.16,0,3.62,0,3,0,12.36,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,25-34,male,campaign,936,1310,1.4,Website Purchases,2,,,5.59,,,11.18,8.53,5,5,2.24,2.24,0.38,10,1.12,0.76,72.16,0,5.59,0,2,0,6.45,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,25-34,female,campaign,8135,10320,1.27,Website Purchases,11,,4,9.7,,26.68,106.71,10.34,43,43,2.48,2.48,0.42,84,1.27,0.81,506.83,285.13,9.70,26.68,11,4,4.75,2.67
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,55-64,female,campaign,248,356,1.44,Website Purchases,2,,,3.54,,,7.08,19.89,2,2,3.54,3.54,0.56,7,1.01,1.97,172.62,0,3.54,0,2,0,24.38,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,13-17,male,campaign,40,77,1.93,,,,,,,,0.39,5.06,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,25-34,unknown,campaign,56,90,1.61,Website Purchases,1,,,0.65,,,0.65,7.22,1,1,0.65,0.65,1.11,1,0.65,1.11,117.21,0,0.65,0,1,0,180.32,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,65+,male,campaign,80,94,1.18,,,,,,,,1.31,13.94,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,55-64,male,campaign,80,112,1.4,Website Purchases,2,,,0.81,,,1.61,14.38,1,1,1.61,1.61,0.89,1,1.61,0.89,177.78,0,0.81,0,2,0,110.42,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,18-24,unknown,campaign,104,121,1.16,,,,,,,,0.82,6.78,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,45-54,male,campaign,144,160,1.11,Website Purchases,1,,1,1.69,,1.69,1.69,10.56,,,,,,1,1.69,0.63,37.45,37.45,1.69,1.69,1,1,22.16,22.16
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,13-17,female,campaign,128,187,1.46,,,,,,,,1.20,6.42,,,,,,1,1.2,0.53,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,65+,female,campaign,176,227,1.29,Website Purchases,3,,3,1.47,,1.47,4.40,19.38,3,3,1.47,1.47,1.32,4,1.1,1.76,409.81,409.81,1.47,1.47,3,3,93.14,93.14
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,65+,unknown,campaign,8,11,1.38,,,,,,,,0.10,9.09,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,45-54,female,campaign,520,603,1.16,Website Purchases,1,,,8.22,,,8.22,13.63,2,2,4.11,4.11,0.33,5,1.64,0.83,146.44,0,8.22,0,1,0,17.82,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,35-44,male,campaign,336,357,1.06,Website Purchases,1,,1,3.08,,3.08,3.08,8.63,2,2,1.54,1.54,0.56,4,0.77,1.12,22.36,22.36,3.08,3.08,1,1,7.26,7.26
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,45-54,unknown,campaign,8,20,2.5,,,,,,,,0.16,8,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,35-44,unknown,campaign,24,28,1.17,,,,,,,,0.30,10.71,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,55-64,unknown,campaign,10,10,1,,,,,,,,0.15,15,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,35-44,female,campaign,1096,1302,1.19,Website Purchases,1,,,14.22,,,14.22,10.92,3,3,4.74,4.74,0.23,12,1.19,0.92,46.9,0,14.22,0,1,0,3.3,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-27,13-17,unknown,campaign,0,6,0,,,,,,,,0.02,3.33,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,18-24,female,campaign,5944,7715,1.3,Website Purchases,8,,4,7.64,,15.29,61.15,7.93,17,17,3.6,3.6,0.22,47,1.3,0.61,348.64,184.17,7.64,15.29,8,4,5.7,3.01
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,25-34,female,campaign,4849,6726,1.39,Website Purchases,25,,10,2.28,,5.69,56.88,8.46,21,21,2.71,2.71,0.31,52,1.09,0.77,1276.1,615.7,2.28,5.69,25,10,22.43,10.82
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,18-24,male,campaign,1189,1505,1.27,Website Purchases,2,,,5.12,,,10.24,6.8,3,3,3.41,3.41,0.2,9,1.14,0.6,239.71,0,5.12,0,2,0,23.42,0
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,35-44,female,campaign,879,1159,1.32,Website Purchases,7,,1,1.62,,11.35,11.35,9.8,1,1,11.35,11.35,0.09,10,1.14,0.86,467.4,27.9,1.62,11.35,7,1,41.17,2.46
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,55-64,unknown,campaign,7,7,1,,,,,,,,0.09,12.6,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,65+,unknown,campaign,5,5,1,,,,,,,,0.03,5.88,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,45-54,unknown,campaign,20,24,1.2,,,,,,,,0.18,7.35,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,13-17,unknown,campaign,4,8,2,,,,,,,,0.01,1.23,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,35-44,unknown,campaign,20,28,1.4,,,,,,,,0.25,9.1,,,,,,0,,0,,,,,,,,
EBD_2018_Evergreen,CONVERSIONS,2018-03-26,25-34,male,campaign,734,1082,1.47,Website Purchases,5,,2,1.85,,4.61,9.23,8.53,4,4,2.31,2.31,0.37,8,1.15,0.74,281.43,63.02,1.85,4.61,5,2,30.51,6.83
